article_pmid	study_id	cohort_id	sex_subgroup	country	design	cohort_name	population_setting	analytic_n	events_n	n_age_mean	n_male_percent	n_bmi_mean	osa_definition	exposure_metric	exposure_definition	exposure_scale	comparator_type	outcome_primary	outcome_definition	follow_up_years	effect_measure	effect_estimate	ci_lower	ci_upper	p_value	model_used	adjustment_summary	ahi_adjusted	sleep_study_type	pooling_eligibility	source_location	notes	source_round	scale_family	main_pool_flag	sensitivity_flag	duplicate_cohort_flag	duplicate_reason	preferred_model_flag
30590586	Baumert_2020_MrOS_CVDmort_T90_Q4gt12min	MrOS	men	USA	prospective cohort	MrOS Sleep Study	community-based older men; not restricted to OSA at entry	2840	185 CVD deaths		100		not restricted to OSA at cohort entry	T90	time spent below 90% oxygen saturation	highest quartile (>12 min) vs lower quartiles	categorical high vs low	CVD mortality	cardiovascular mortality / cardiovascular death	8.8 mean	HR	1.59	1.14	2.22	0.006	Multivariable Cox model	race, age, weight status, PASE score, smoking, alcohol consumption, diabetes, hypertension, heart failure, COPD, and AHI	yes	overnight oximetry derived from polysomnography	categorical_high_vs_low_main	Table 2 multivariable analysis; PMC full text	Categorical T90 row uses the paper's highest-quartile threshold rather than a universal clinical cutoff, so it should be pooled only with clearly comparable categorical T90 studies.	round5	categorical_high_vs_low	yes	no	yes	same_article_same_cohort_same_outcome_alt_scale	yes
39120771	Azakli_2024_clinicalOSA_allcause_ODI_per1unit	Azakli_clinicalOSA	mixed	Turkey	retrospective clinical cohort	single-centre referral sleep-clinic cohort	adults with OSA diagnosed in a referral sleep-disorders centre	3541	231 all-cause deaths	49.7	72		clinical OSA cohort	ODI	oxygen desaturation index (events per hour)	per 1-unit increase	continuous raw unit	all-cause mortality	death from any cause during long-term follow-up	5+	HR	1.007	1.001	1.013	0.01	Multivariate Cox model 2	OSA subtype, COPD, PLMS, age, sex, waist-to-hip ratio, Epworth Sleepiness Scale, CoSA score >=1, monocyte/HDL ratio, systemic immune-inflammation index; AHI omitted because of collinearity with ODI	no	polysomnography	continuous_raw_unit_main	Table 5 model 2, ODI row, external PDF copy	This is currently a single clinical-cohort ODI all-cause mortality row with exact multivariable effect size, but it does not include AHI in the same model because the authors separated AHI and ODI models.	round6	continuous_raw_unit	yes	no	no		yes
33433302	Blanchard_2021_multicenterOSA_incAF_T90_per1pct	Blanchard_multicenterOSA	mixed	France	retrospective multicenter clinical cohort	patients investigated for OSA in a multicenter referral network	AF-free patients investigated for clinical suspicion of OSA	7205	181 incident AF events	60 median	62.3	29 median	patients investigated for OSA	T90	percentage of recording time with oxygen saturation <90%	per 1% increase	continuous raw unit	incident atrial fibrillation	new-onset atrial fibrillation identified from linked administrative data	5.34 median	HR	1.01	1.00	1.02	0.0104	Adjusted Cox model	age, sex, body mass index, alcohol intake, diabetes, hypertension, history of cardiac disease, chronic obstructive pulmonary disease, beta blocker/calcium channel blocker medications, type of sleep study, study site, and positive airway pressure adherence	no	mixed PSG and other diagnostic sleep studies	continuous_raw_unit_main	Table 2 adjusted model, T90 continuous row, OUP web text	T90 was the only nocturnal hypoxemia index that remained independently associated with incident AF after multivariable adjustment.	round6	continuous_raw_unit	yes	no	yes	same_article_same_cohort_same_outcome_alt_scale	yes
33433302	Blanchard_2021_multicenterOSA_incAF_T90_q4	Blanchard_multicenterOSA	mixed	France	retrospective multicenter clinical cohort	patients investigated for OSA in a multicenter referral network	AF-free patients investigated for clinical suspicion of OSA	7205	181 incident AF events	60 median	62.3	29 median	patients investigated for OSA	T90	percentage of recording time with oxygen saturation <90%	highest quartile (>=6.8%) vs lowest quartile (<0.1%)	categorical high vs low	incident atrial fibrillation	new-onset atrial fibrillation identified from linked administrative data	5.34 median	HR	2.20	1.23	3.91	0.0075	Adjusted Cox model	age, sex, body mass index, alcohol intake, diabetes, hypertension, history of cardiac disease, chronic obstructive pulmonary disease, beta blocker/calcium channel blocker medications, type of sleep study, study site, and positive airway pressure adherence	no	mixed PSG and other diagnostic sleep studies	categorical_high_vs_low_main	Table 2 adjusted model, T90 category row, OUP web text	The highest T90 quartile was associated with incident AF, while ODI, nadir oxygen saturation, and hypoxic burden category analyses were not independently significant after adjustment.	round6	categorical_high_vs_low	yes	no	yes	same_article_same_cohort_same_outcome_alt_scale	yes
11734445	Mooe_2001_CAD_ODI5_Cerebrovascular	CADSweden2001	mixed	Sweden	prospective cohort	coronary angiography CAD cohort	adults aged 70 years or younger with verified coronary artery disease	408					AHI >=10 or ODI >=5 used to define sleep-disordered breathing	ODI	ODI >=5 events/hour defining nocturnal hypoxaemia-associated sleep-disordered breathing	ODI >=5 vs <5	categorical high vs low	cerebrovascular events	stroke or transient ischemic attack during follow-up	5.1 median	HR	2.62	1.26	5.46	0.01	multivariable Cox model	age, sex, body mass index, hypertension, diabetes, left ventricular dysfunction, and coronary intervention	no	hospital overnight sleep study with oximetry and airflow	sensitivity_specialized_cad	Table 3 / abstract in sleep-disordered-breathing-and-coronary-artery-disease.pdf	CAD cohort with hard cerebrovascular outcomes; the composite endpoint estimate was also reported but the adjusted cerebrovascular row is the clearest protocol-relevant estimate recoverable from the full text.	round12	categorical_high_vs_low	yes	no	no		yes
21724460	Johansson_2011_ElderlyCVD_ODI10_AllCause	CoroKindElderly2011	mixed	Sweden	prospective community cohort	CoroKind elderly community subgroup	community-dwelling elderly with cardiovascular disease and impaired systolic function by NT-proBNP			78			home unattended sleep study in an elderly community cohort	ODI	ODI >=10 events/hour in the subgroup with cardiovascular disease and impaired systolic function	ODI >=10 vs <10	categorical high vs low	all-cause mortality	death from any cause in the high-risk elderly subgroup	4.5 mean	HR	3.0	1.1	8.6	0.03	multivariable Cox model	age, gender, diabetes, and plasma NT-proBNP	no	unattended home portable sleep study	sensitivity_specialized_elderly_cvd	Abstract / Results in 1-s2.0-S1389945711001523-main.pdf	The overall elderly community cohort did not show a mortality association; the extracted effect is limited to the prespecified high-risk subgroup with cardiovascular disease and impaired systolic function.	round12	categorical_high_vs_low	yes	no	no		yes
24342759	Ohmura_2014_ADHF_ODI4_SDB_Composite	ADHF_LVSystolic2014	mixed	Japan	prospective hospital cohort	predischarge ADHF LV systolic dysfunction cohort	hospitalized adults with left ventricular systolic dysfunction after acute decompensated heart failure	100	33				sleep-disordered breathing defined by 4% ODI threshold on predischarge nocturnal pulse oximetry	ODI	4% oxygen desaturation index >=5 events/hour used to define SDB	SDB vs non-SDB	categorical high vs low	composite readmission or mortality	death or readmission for acute decompensated heart failure after discharge	1.2 mean	HR	2.93	1.36	6.31	0.006	final multivariable stepwise Cox model	women, systolic blood pressure per standard deviation, hemoglobin per standard deviation, B-type natriuretic peptide per standard deviation, and SDB	no	predischarge nocturnal pulse oximetry	sensitivity_specialized_adhf	Table 2 / abstract in PIIS0002914913022662.pdf	Specialized acute heart-failure cohort; useful for the ODI hard-outcome evidence map but not protocol-concordant for the default OSA-centered main pool.	round12	categorical_high_vs_low	yes	no	no		yes
26612581	Oldenburg_2016_HFREF_T90_h_AllCause	HFREF_Germany2016	mixed	Germany	prospective cohort	stable HF-REF cohort	chronic stable heart failure with reduced ejection fraction and mixed SDB phenotypes	963	480				unattended in-hospital polygraphy in heart failure with reduced ejection fraction	T90	time with oxygen saturation <90%, modeled per hour	per hour increase	continuous	all-cause mortality	death from any cause during follow-up	7.35 median	HR	1.161	1.086	1.242	<0.001	adjusted Cox model (Table 3)	age, sex, body mass index, NYHA class, left ventricular ejection fraction, cardiac resynchronization therapy, ischaemic cardiomyopathy, diabetes, beta-blocker use, and digitalis	no	in-hospital polygraphy	sensitivity_specialized_hfref_mixedsdb	Table 3 / abstract in ehv624.pdf	This is a robust T90 mortality estimate, but the cohort is a heart-failure population with mixed obstructive and central SDB rather than a clinical OSA cohort.	round12	continuous_fixed_increment_hour	yes	no	no		yes
35131555	Chung_2022_Surgery_ODI30_PostopCV	POSA2022	mixed	Multinational	post hoc prospective cohort	POSA surgical cohort	adults with cardiovascular risk factors undergoing major non-cardiac surgery and unrecognized OSA	1218		67.2		27.0	preoperative overnight oximetry-derived OSA severity by ODI categories	ODI	preoperative ODI >=30 events/hour	ODI >=30 vs <30	categorical high vs low	30-day postoperative cardiovascular events	composite of myocardial injury, cardiac death, congestive heart failure, thromboembolism, atrial fibrillation, and stroke within 30 days	0.08	HR	1.63	1.05	2.53		multivariable Cox model	post hoc POSA multivariable model; full retained covariate list was not recoverable from the PDF text layer	no	preoperative overnight pulse oximetry	sensitivity_specialized_perioperative	Abstract in 1-s2.0-S0952818022000095-main.pdf	Protocol-adjacent ODI signal in a perioperative unrecognized-OSA setting; keep as specialized sensitivity evidence rather than merge with chronic OSA prognostic cohorts.	round12	categorical_high_vs_low	yes	no	no		yes
34677657	Suzuki_2022_AFablation_T90gt20_Recurrence	AFCAJapan2022	mixed	Japan	retrospective cohort	AF catheter ablation cohort	atrial fibrillation patients undergoing ambulatory sleep study before catheter ablation	290	45				ambulatory sleep study among AF referrals undergoing catheter ablation	T90	T90 >20% severe nocturnal hypoxaemia among patients not receiving CPAP	>20% vs <=20%	categorical high vs low	atrial tachyarrhythmia recurrence	recurrence after final catheter ablation	1.31 median	HR	8.53	1.872	38.814	<0.01	multivariable Cox model in the non-CPAP subgroup	severe nocturnal hypoxaemia and left atrial volume index retained in the non-CPAP multivariable model	no	ambulatory WatchPAT study	sensitivity_specialized_postablation_af	Abstract / Results in s00380-021-01969-x.pdf	Important AF-recurrence signal but highly specialized to post-ablation patients and restricted to the non-CPAP subgroup.	round12	categorical_high_vs_low	yes	no	no		yes
40056262	Xu_2025_OSAACS_RCIR_LogODI_MACCE	OSAACS_RCIR2025	mixed	China	prospective cohort post hoc subgroup analysis	OSA-ACS RCIR subgroup	acute coronary syndrome patients with dual remnant-cholesterol and low-grade-inflammation risk						OSA-ACS cohort with sleep study and exclusion of central sleep apnea	ODI	log-transformed ODI in the RCIR subgroup	log-unit increase	continuous	MACCE	composite of cardiovascular death, myocardial infarction, stroke, unstable-angina or heart-failure hospitalization, and ischaemia-driven revascularization	2.9 median	HR	1.813	1.039	3.163	0.036	adjusted Cox model in RCIR subgroup	comprehensively adjusted subgroup model; exact retained covariates were not fully recoverable from the PDF text layer	no	sleep study in hospitalized ACS cohort	sensitivity_specialized_acs_subgroup	Abstract / Results in s11325-025-03281-8.pdf	Post hoc ACS subgroup analysis; relevant because ODI is explicitly modeled, but this is not a general OSA prognostic cohort.	round12	continuous_log	yes	no	no		yes
40056262	Xu_2025_OSAACS_RCIR_LogNadir_MACCE	OSAACS_RCIR2025	mixed	China	prospective cohort post hoc subgroup analysis	OSA-ACS RCIR subgroup	acute coronary syndrome patients with dual remnant-cholesterol and low-grade-inflammation risk						OSA-ACS cohort with sleep study and exclusion of central sleep apnea	nadir SpO2	log-transformed nadir SaO2 in the RCIR subgroup	log-unit increase	continuous	MACCE	composite of cardiovascular death, myocardial infarction, stroke, unstable-angina or heart-failure hospitalization, and ischaemia-driven revascularization	2.9 median	HR	0.033	0.001	0.769	0.034	adjusted Cox model in RCIR subgroup	comprehensively adjusted subgroup model; exact retained covariates were not fully recoverable from the PDF text layer	no	sleep study in hospitalized ACS cohort	sensitivity_specialized_acs_subgroup	Abstract / Results in s11325-025-03281-8.pdf	Inverse nadir-SaO2 association is directionally coherent with worse hypoxaemia burden conferring higher risk; keep as specialized subgroup sensitivity.	round12	continuous_log	yes	no	no		yes
30243978	Kendzerska_2018_SuspectedOSA_T90gt30pct_IncidentHospAF	Ontario_suspectedOSA_2018	mixed	Canada	historical clinical cohort	suspected OSA diagnostic-sleep-study cohort	adults referred to a large academic hospital with suspected OSA and no baseline arrhythmia	8256	173	47 median	62		first diagnostic sleep study for suspected OSA; OSA severity separately characterized by AHI	T90	more than 30% of sleep time with oxygen saturation <90%	>30% vs <=30%	categorical high vs low	incident hospitalized atrial fibrillation	new hospitalization with atrial fibrillation over follow-up, identified through linked provincial administrative data	10 median	HR	1.77	1.15	2.74		multivariable Cox model with BMI and hypertension added	age, sex, alcohol consumption, smoking status, previous heart failure, COPD, pulmonary embolism, body mass index, and hypertension	no	diagnostic sleep study	categorical_high_vs_low_main	Abstract / Results in j.chest.2018.08.1075.pdf	Clinical suspected-OSA cohort. Nocturnal hypoxemia remained significant after additional adjustment, whereas AHI did not. Keep distinct from existing AF cells because the endpoint is hospitalized AF and the threshold is >30% T90.	round13	categorical_high_vs_low	yes	no	no		yes
29277336	RiveraLopez_2018_HF_nocturnalHypoxemia_PositivePulseOx_Composite	Spain_ADHF_2018	mixed	Spain	prospective hospital cohort	decompensated heart failure pulse-oximetry cohort	consecutively hospitalized adults with decompensated heart failure	38	17	70.7	63.3		portable nocturnal pulse oximetry during hospitalization in a heart-failure cohort with sleep-disordered-breathing risk	nocturnal hypoxemia	positive pulse oximetry when more than 10 desaturations per hour were recorded during sleep	positive vs negative	categorical high vs low	composite mortality or HF readmission	combined endpoint of all-cause mortality and hospital readmission due to heart failure	2.5 mean	HR	8.37	1.19	68.4	0.03	multivariable Cox model	multivariable model reported in full text; exact retained covariates were not recoverable from the PDF text layer	no	portable nocturnal pulse oximetry	sensitivity_specialized_hf_nocthypox	Abstract / Results in j.medcli.2017.11.024.pdf	Very small specialized heart-failure cohort. Useful for the sensitivity evidence map of nocturnal hypoxemia, but not protocol-concordant for the default adult-OSA main pool.	round13	categorical_high_vs_low	yes	no	no		yes
8889364	Mooe_1996_PostCABG_ODI5_PostopAF	PostCABG_Sweden1996	mixed	Sweden	prospective surgical cohort	coronary artery bypass surgery cohort	consecutive adults undergoing coronary artery bypass surgery with preoperative sleep study	121	32				sleep-disordered breathing defined preoperatively by AHI >=5 or ODI >=5	ODI	ODI >=5 events/hour defining sleep-disordered breathing with nocturnal hypoxaemia	ODI >=5 vs <5	categorical high vs low	post-CABG atrial fibrillation	atrial fibrillation after coronary artery bypass surgery requiring pharmacological intervention or cardioversion before discharge	in-hospital postoperative follow-up	RR	2.8	1.2	6.8		multiple logistic regression model	age, left ventricular function, aortic cross-clamp time, maximum postoperative lactate dehydrogenase, and ODI-defined disordered breathing	no	preoperative sleep study	sensitivity_specialized_postcabg_af	PubMed abstract for PMID 8889364	Abstract-level extraction only. ODI-defined disordered breathing, not AHI, was the independent postoperative AF predictor in this specialized CABG cohort.	round14	categorical_high_vs_low	no	yes	no		yes
36642535	Onuki_2023_CIRCS_ODI5_IncidentCVD	CIRCS_Japan_community	mixed	Japan	prospective community cohort	CIRCS cohort	community-dwelling Japanese adults initially free of ischemic heart disease and stroke	5313	185 CVD events				nocturnal intermittent hypoxia as a surrogate marker of OSA in a community cohort	ODI	3% oxygen desaturation index >=5 events/hour	ODI >=5 vs <5	categorical high vs low	incident CVD	incident composite cardiovascular disease including stroke and coronary heart disease	12.8 median	HR	1.49	1.09	2.03		multivariable Cox model	age, sex, body mass index, alcohol, and smoking	no	community overnight oximetry	sensitivity_general_population_osa_surrogate	PubMed abstract for PMID 36642535	Community-based nocturnal intermittent hypoxia paper with extractable adjusted CVD-composite HR. Retain as general-population OSA-surrogate sensitivity evidence rather than as a core OSA cohort.	round16	categorical_high_vs_low	no	yes	no		yes
40818776	Peker_2025_RICCADSA_highHB_MACCE	RICCADSA_observationalOSA_CAD	mixed	Sweden	secondary analysis of observational cohort	RICCADSA observational cohort	adults with moderate-to-severe OSA and coronary artery disease	368					OSA defined as AHI >=15 events/hour	HB	high hypoxic burden defined above the cohort median of 60.7 %min/h	high vs low HB by median split	categorical high vs low	MACCE	incident first major adverse cardiovascular and cerebrovascular event	4.7 median	HR	1.87	1.17	2.98	0.009	adjusted Cox model	multivariable model in the observational RICCADSA cohort; detailed covariate list not fully recovered from the abstract text	no	sleep study in coronary artery disease cohort	sensitivity_specialized_secondary_prevention	PubMed abstract for PMID 40818776	Specialized secondary-prevention cohort. High HB, but not AHI >=30/h, was associated with MACCEs. Keep as a specialized HB-MACCE sensitivity/comparator row rather than merge with the default pooled core.	round16	categorical_high_vs_low	no	yes	no		yes
35304425	Xu_2023_HongKongClinic_TST90_MACE_spline	HongKong_sleep_clinic_osa	mixed	China	prospective sleep clinic cohort	Hong Kong sleep clinic cohort	adults referred for polysomnography in a Hong Kong sleep clinic	1860	278 MACEs				sleep-clinic polysomnography cohort with OSA-related physiology	T90	sleep time with oxygen saturation below 90% (TST90)	spline contrast 36.4 vs 0.7 min	continuous spline contrast	MACE	incident fatal or non-fatal major adverse cardiovascular events	8.3 median	HR	1.41	1.10	1.81		multivariable Cox model with spline-transformed TST90 contrast	multivariable model adjusting for demographic factors, cardiometabolic risk factors, medication use, and AHI entered jointly with TST90	yes	in-laboratory polysomnography linked to territory-wide administrative outcomes	continuous_spline_contrast_main	Table 2 multivariable model; TST90 36.4 vs 0.7 min contrast in thoraxjnl-2021-217714.pdf	Strong new sleep-clinic T90/TST90 hard-composite anchor, but retained as non-pooled because the published estimate is a spline-derived contrast rather than a directly poolable shared scale.	round26_upgrade	continuous_spline_contrast	yes	no	no		yes
33394326	Labarca_2021_SantOSA_T90_CVmort_per1pct	SantOSA_osa_diabetes	mixed	Chile	prospective cohort	SantOSA	adults referred for sleep study with OSA and diabetes-comorbidity stratification	1447					moderate-to-severe OSA cohort with diabetes-comorbidity framing	T90	percentage of sleep time with oxyhemoglobin saturation below 90% (T90%)	per 1% increase	continuous increment	CVD mortality	incident cardiovascular mortality	5 mean	HR	1.02	1.01	1.04	0.03	multivariable Cox model	multivariable Cox model within the SantOSA OSA-diabetes cohort; detailed covariate list was not fully transcribed into the current worksheet	no	diagnostic sleep-study referral cohort	continuous_raw_unit_main	Results text in s11325-020-02283-y.pdf; T90% independently associated with CV mortality	Strengthens the T90-cardiovascular-mortality line, but remains non-pooled because the published estimate is on a per-1% scale in a diabetes-enriched SantOSA phenotype rather than on a directly shared scale with the existing community anchor.	round26_upgrade	continuous_raw_unit	yes	no	no		yes
20339144	Redline_2010_SHHSmen_T90_Stroke_tertile3	SHHS_men_stroke	men	USA	prospective community cohort	SHHS	community-dwelling men in the Sleep Heart Health Study	2462					community cohort with OSA-related physiology, not restricted to clinic-defined OSA at entry	T90	percentage of sleep time with oxygen saturation below 90%	third tertile (1.96%-100%) vs 0-value reference	categorical threshold	incident ischemic stroke	first incident ischemic stroke during follow-up	8.7 median	HR	1.46	0.71	2.98		fully adjusted Cox model among men	fully adjusted male-specific model including demographic and vascular stroke-risk covariates	no	unattended home polysomnography	categorical_high_vs_low_main	Table 3, fully adjusted male model, time <90% O2 saturation III tertile in PMC2913239	Important community negative/uncertain stroke-family row that thickens the cerebrovascular evidence map, but remains non-poolable because the thresholding and outcome framing are not synthesis-ready.	round26_upgrade	categorical_threshold	yes	no	no		yes
40132385	Wang_2025_SHHSOSA_HB_Q4_incAF	SHHS_osa_without_baseline_AF	mixed	USA	prospective cohort secondary analysis	SHHS OSA without baseline AF cohort	adults with OSA from SHHS without pre-existing atrial fibrillation	1660	190 incident AF				OSA participants from SHHS without baseline atrial fibrillation	HB	hypoxic burden quartiles	fourth quartile vs first quartile	categorical high vs low	incident atrial fibrillation	first incident atrial fibrillation during follow-up	5.3 mean	OR	1.70	1.04	2.81	0.038	multivariable logistic regression	multivariable model adjusting for major demographic and cardiovascular covariates	no	home polysomnography in the Sleep Heart Health Study	sensitivity_overlap_shhs_or	Results in 1-s2.0-S1389945725001339-main.pdf; HB Q4 vs Q1 incident AF	Overlap-prone SHHS reuse with OR-based AF modeling. Retain as sensitivity/comparator evidence rather than as a primary AF anchor.	round26_upgrade	categorical_high_vs_low	no	yes	no		yes
41733912	Bailly_2026_SASHB_ge80_postopComposite	French_major_noncardiothoracic_surgery	mixed	France	multicenter clinic-based cohort	French major noncardiothoracic surgery cohort	adults with OSA undergoing major noncardiothoracic surgery	2286	80 primary outcomes				adults with diagnosed OSA undergoing major noncardiothoracic surgery	SASHB	sleep apnea-specific hypoxic burden tertiles	>=80 vs <32 %min/h	categorical threshold	30-day postoperative cardiovascular events	composite of stroke, atrial fibrillation, heart failure, myocardial infarction, venous thromboembolism, and all-cause mortality within 30 days of surgery	0.08	OR	2.79	1.42	5.49		multivariable logistic regression	multivariable perioperative model including age, emergency admission, and surgical-risk covariates	no	preoperative diagnostic sleep study linked to administrative surgical outcomes	sensitivity_specialized_perioperative	Abstract and Results in bailly_2026_oi_260001_1772557663.82791.pdf	Specialized perioperative translational cohort that thickens the SASHB hard-outcome layer, but the 30-day postoperative composite is not directly comparable with chronic OSA prognostic cells.	round26_upgrade	categorical_threshold	no	yes	no		yes
27464791	Xie_2016_PostMI_minSaO2le85_MACE	recent_postMI_osa	mixed	USA	prospective cohort	recent myocardial infarction cohort	adults hospitalized with recent myocardial infarction and post-event PSG	98	33 MACE events				post-MI adults without prior sleep-apnea diagnosis; central apnea and CPAP users excluded	nadir SpO2	nocturnal minimum oxygen saturation <=85%	<=85% vs >85%	categorical threshold	MACE	major adverse cardiac events after myocardial infarction	4 total	HR	6.05	1.79	20.46	0.004	multivariable Cox model with landmark analysis >=15 months	age, left ventricular ejection fraction, diabetes mellitus, oxygen desaturation index, and arousal index	no	full-night polysomnography after recent myocardial infarction	sensitivity_specialized_postmi	Table 3, minSaO2 model 1, >=15 months, PMC5015271	Specialized recent-post-MI cohort with a strong nadir oxygen saturation signal, but event-window landmarking and cardiac-population framing keep it in the sensitivity/comparator layer.	round26_upgrade	categorical_threshold	no	yes	no		yes
27464791	Xie_2016_PostMI_T90SaO2ge1p3_MACE	recent_postMI_osa	mixed	USA	prospective cohort	recent myocardial infarction cohort	adults hospitalized with recent myocardial infarction and post-event PSG	98	33 MACE events				post-MI adults without prior sleep-apnea diagnosis; central apnea and CPAP users excluded	T90	T90SaO2 threshold	>=1.3% vs <1.3%	categorical threshold	MACE	major adverse cardiac events after myocardial infarction	4 total	HR	1.25	0.50	3.16	0.630	multivariable Cox model	age, left ventricular ejection fraction, diabetes mellitus, oxygen desaturation index, and arousal index	no	full-night polysomnography after recent myocardial infarction	sensitivity_specialized_postmi	Table 3, T90SaO2 model, PMC5015271	Specialized post-MI T90 threshold analysis with a null estimate; useful as a negative specialized comparator row rather than a general OSA prognostic anchor.	round26_upgrade	categorical_threshold	no	yes	no		yes
37656346	HenriquezBeltran_2024_SHHS_T90_pSD_AllCause	SHHS_HB2024	mixed	USA	prospective community cohort secondary analysis	SHHS	community-based adults with complete baseline and follow-up data	4323		64 median	56		community cohort; not restricted to diagnosed OSA at entry	T90	percentage of sleep time with oxygen saturation below 90% (T90%)	per 1 SD increase	continuous standardized	all-cause mortality	death from any cause during follow-up	11.7 median	HR	1.18	1.10	1.26	<0.001	adjusted Cox regression model	age, sex, body mass index, hypertension, diabetes, chronic obstructive pulmonary disease, cardiovascular disease, tobacco history, and respiratory disturbance index	yes	unattended home polysomnography	single_publication_dualcohort_main	Abstract and Table 2 in s11325-023-02909-x.pdf	Dual-cohort T90 all-cause-mortality paper rescued during the final strict-review pass; this SHHS community-physiology row thickens the mortality map but was retained outside the four-cell pooled core because it would only create another single-publication dual-cohort cell.	round26_upgrade	continuous_standardized	yes	no	no		yes
37656346	HenriquezBeltran_2024_SantOSA_T90_pSD_AllCause	SantOSA_HB2024	mixed	Chile	prospective clinical cohort secondary analysis	SantOSA	adults in the SantOSA clinical cohort with complete baseline and follow-up data	1345		55 median	77		Santiago Obstructive Sleep Apnea clinical cohort	T90	percentage of sleep time with oxygen saturation below 90% (T90%)	per 1 SD increase	continuous standardized	all-cause mortality	death from any cause during follow-up	5.0 median	HR	1.34	1.04	1.71	0.021	adjusted Cox regression model	age, sex, body mass index, hypertension, diabetes, chronic obstructive pulmonary disease, cardiovascular disease, tobacco history, and respiratory disturbance index	yes	diagnostic sleep-study referral cohort	single_publication_dualcohort_main	Abstract and Table 2 in s11325-023-02909-x.pdf	More protocol-concordant clinical-cohort companion row from the same dual-cohort T90 all-cause-mortality paper; retained outside the four-cell pooled core because it still represents a single publication rather than independent replication.	round26_upgrade	continuous_standardized	yes	no	no		yes
