article_pmid	citation_key	review_role	design	cohorts	country	metric_families	outcome_families	population_summary	analytic_n_summary	follow_up_summary	sleep_study_type_summary	extracted_rows_n	main_pool_rows_n	sensitivity_rows_n	overall_judgment	overall_reason
8889364	Mooe_1996_PostCABG_Abstract	specialized_sensitivity_abstract_only	prospective surgical cohort	post-CABG surgical cohort	Sweden	ODI	post-CABG atrial fibrillation	consecutive adults undergoing coronary artery bypass surgery with preoperative sleep study	121	in-hospital postoperative follow-up	preoperative sleep study	1	0	1	high	Abstract-level extraction only from an older specialized postoperative cohort; limited reporting detail and specialized surgical framing warrant high overall bias risk.
11734445	Mooe_2001_AJRCCM	primary_single_study_cell	prospective cohort	coronary angiography CAD cohort	Sweden	ODI	cerebrovascular events	adults aged 70 years or younger with verified coronary artery disease	408	5.1 median	hospital overnight sleep study with oximetry and airflow	1	1	0	moderate	Prospective CAD cohort with adjusted cerebrovascular outcomes, but older design features, limited modern sleep-phenotyping detail, and CAD-specific selection constrain generalizability.
21724460	Johansson_2011_SleepMed	primary_single_study_cell	prospective community cohort subgroup analysis	elderly community subgroup with CVD and impaired systolic function	Sweden	ODI	all-cause mortality	community-dwelling elderly with cardiovascular disease and impaired systolic function by NT-proBNP		4.5 mean	unattended home portable sleep study	1	1	0	moderate	Community-based design is a strength, but the extracted association is confined to a high-risk subgroup, which reduces transportability and increases interpretation complexity.
24342759	Ohmura_2014_AmJCardiol	primary_single_study_cell	prospective hospital cohort	predischarge acute decompensated heart-failure cohort	Japan	ODI	composite readmission or mortality	hospitalized adults with left ventricular systolic dysfunction after acute decompensated heart failure	100	1.2 mean	predischarge nocturnal pulse oximetry	1	1	0	high	Very specialized hospitalized heart-failure cohort with limited size and stepwise modeling, creating high confounding and selection concerns.
26612581	Oldenburg_2016_EHJ	primary_single_study_cell	prospective cohort	stable HF-REF cohort	Germany	T90	all-cause mortality	chronic stable heart failure with reduced ejection fraction and mixed SDB phenotypes	963	7.35 median	in-hospital polygraphy	1	1	0	moderate	Long follow-up and adjusted mortality modeling are strengths, but the mixed obstructive/central SDB heart-failure setting limits direct applicability to adult OSA prognosis.
29277336	RiveraLopez_2018_MedClin	primary_single_study_cell	prospective hospital cohort	decompensated heart-failure pulse-oximetry cohort	Spain	nocturnal hypoxemia	composite mortality or HF readmission	consecutively hospitalized adults with decompensated heart failure	38	2.5 mean	portable nocturnal pulse oximetry	1	1	0	high	Extremely small specialized cohort with wide confidence intervals and limited recoverable model detail, making the estimate fragile and high risk of bias.
30243978	Kendzerska_2018_Chest	primary_single_study_cell	historical clinical cohort	suspected OSA diagnostic-sleep-study cohort	Canada	T90	incident hospitalized atrial fibrillation	adults referred to a large academic hospital with suspected OSA and no baseline arrhythmia	8256	10 median	diagnostic sleep study	1	1	0	moderate	Large clinically relevant cohort with hard AF outcome linkage, but suspected-OSA referral sampling and non-AHI-adjusted nocturnal-hypoxemia modeling warrant moderate caution.
30376054	Azarbarzin_2019_EHJ	primary_main	prospective community cohort	MrOS; SHHS	USA	HB	CVD mortality	community-based older men; not restricted to OSA at entry; community-based middle-aged and older adults; not restricted to OSA at entry	2743; 4672	10.0; 10.9	unattended home PSG; unattended PSG	4	4	0	low	Large well-characterized cohorts, adjudicated mortality outcomes, robust covariate adjustment including AHI/MinSat/TST90, and consistent reporting.
30590586	Baumert_2020_EHJ	primary_single_study_cell	prospective cohort secondary analysis	MrOS	USA	ODI; T90	CVD mortality	community-based older men; not restricted to OSA at entry	2840	8.8 mean	overnight oximetry derived from polysomnography	3	3	0	moderate	Well-conducted community cohort analysis with objective nocturnal hypoxemia measures and AHI adjustment, but older-men-only sampling and decomposition of oxygen-burden components introduce moderate generalizability and comparability concerns.
31081538	Labarca_2019_SleepBreath	sensitivity_threshold_only	retrospective cohort	single-centre moderate-to-severe OSA cohort		T90	all-cause mortality	newly diagnosed moderate-to-severe OSA without concomitant respiratory disease	365	5	diagnostic sleep study	1	0	1	high	Single-centre threshold analysis with no multivariable adjustment and OR-based bivariate comparisons only.
32298733	Azarbarzin_2020_Chest	primary_main	prospective cohort secondary analysis	SHHS; MrOS men	USA	SASHB	incident heart failure	community-based middle-aged and older adults; effect estimated from male subgroup via sex interaction; community-based older men	2259 men subgroup; 4535 in fully adjusted interaction model; 2653; 2646 in fully adjusted model	10.4; 8.8	unattended type 2 PSG	2	2	0	low	Strong cohort design and adjusted survival models, with only minor reporting limitations around subgroup event counts.
33433302	BrianconMarjollet_2021_AnnalsATS	primary_single_study_cell	retrospective multicenter clinical cohort	multicenter OSA-referred cohort	France	T90	incident atrial fibrillation	AF-free patients investigated for clinical suspicion of OSA	7205	5.34 median	mixed PSG and other diagnostic sleep studies	2	2	0	moderate	Large multicenter OSA-referred cohort with adjusted time-to-event models and clinically relevant AF outcomes, but referral-based sampling, mixed diagnostic sleep-study modalities, and retrospective linkage design introduce moderate bias risk.
34648724	Trzepizur_2022_AJRCCM	primary_held_composite_heterogeneity	prospective clinical cohort	Pays de la Loire clinical cohort	France	HB; T90	MACE	newly diagnosed clinical OSA without overt cardiovascular disease	5358	6.5 median	mixed PSG or HSAT	2	2	0	moderate	Good clinical cohort with adjusted time-to-event models, but mixed PSG/HSAT acquisition and composite endpoint definition complicate direct synthesis.
34677657	Suzuki_2022_HeartVessels	primary_single_study_cell	retrospective cohort	AF catheter ablation cohort	Japan	T90	atrial tachyarrhythmia recurrence	atrial fibrillation patients undergoing ambulatory sleep study before catheter ablation	290	1.31 median	ambulatory WatchPAT study	1	1	0	high	Highly specialized post-ablation subgroup analysis with non-CPAP restriction and limited event count, yielding high susceptibility to selection and residual confounding.
35131555	Chung_2022_JClinAnesth	primary_single_study_cell	post hoc prospective cohort	POSA perioperative cohort	Multinational	ODI	30-day postoperative cardiovascular events	adults with cardiovascular risk factors undergoing major non-cardiac surgery and unrecognized OSA	1218	0.08	preoperative overnight pulse oximetry	1	1	0	moderate	Large perioperative cohort with relevant hard outcomes, but it represents an unrecognized-OSA surgical setting rather than chronic OSA prognosis and the text-layer covariate detail is incomplete.
36642535	Onuki_2023_CIRCS_Abstract	specialized_sensitivity_abstract_only	prospective community cohort	CIRCS Japanese community cohort	Japan	ODI	incident CVD	community-dwelling Japanese adults initially free of ischemic heart disease and stroke	5313	12.8 median	community overnight oximetry	1	0	1	moderate	Large community cohort with incident cardiovascular outcomes and adjusted Cox models, but abstract-only extraction and OSA-surrogate framing limit certainty.
37418748	Labarca_2023_AJRCCM	primary_main_plus_single_study_cells	prospective cohort secondary analysis	MESA; MrOS	USA	HB	incident hard CVD; all-cause mortality; incident CVD; CVD mortality	community-based middle-aged and older adults; not restricted to OSA at entry; community-based older men; not restricted to OSA at entry	1891; 1973; 1518; 2627	6.9 median; 9.4 median; 12.0 median	type 2 PSG; full home PSG	5	5	0	moderate	Outcomes and HB measurement are strong, but the final models emphasize comparative physiological burdens and do not uniformly adjust for other OSA severity measures such as AHI.
37947123	Heinzinger_2023_JAHA	primary_single_study_cell	retrospective clinical cohort	Cleveland Clinic sleep-study cohort	USA	T90; nadir SpO2	incident atrial fibrillation	clinical sleep-study patients without baseline AF	42057	5	clinical sleep study	2	2	0	moderate	Large and clinically relevant cohort, but referral-based selection and outcome ascertainment through administrative/electronic records introduce moderate bias risk.
38773880	Hui_2024_Respirology	sensitivity_metric_comparison	prospective cohort secondary analysis	SHHS	USA	ODI; rHB	CVD mortality; incident CVD	community-based adults aged >40 years; not restricted to OSA at entry; community-based adults aged >40 years; baseline-prevalent CVD excluded for morbidity dataset	4485; 3872		unattended PSG	4	0	4	moderate	Useful comparative paper, but reconstructed HB and same-cohort metric comparison increase measurement and interpretation uncertainty.
39120771	Azakli_2024_SleepBreath	primary_single_study_cell	retrospective clinical cohort	single-centre referral clinical OSA cohort	Turkey	ODI	all-cause mortality	adults with OSA diagnosed in a referral sleep-disorders centre	3541	5+	polysomnography	1	1	0	moderate	Large clinical OSA cohort with polysomnography-derived ODI and multivariable mortality models, but retrospective single-centre referral sampling, electronic-record outcome ascertainment, and non-AHI-adjusted collinearity handling warrant moderate caution.
39206667	Vichova_2025_JCSM	sensitivity_subgroup_only	prospective subgroup cohort analysis	SHHS diabetes subgroup	USA	T90; ODI	all-cause mortality	community-based adults with diabetes; community-based adults with treated diabetes	453; not reported for treated-DM subgroup	9.5; 9.5 mean in overall DM subgroup	type II PSG	2	0	2	high	Post hoc subgrouping with empirically selected cutoffs and incomplete subgroup-size reporting limits credibility despite adjusted mortality models.
40008168	Mazzotti_2025_ERJOR	primary_overlap_sensitive	prospective cohort secondary analysis	SHHS free-of-baseline-CVD subset	USA	HB	CVD mortality; MACE	community-based adults with symptom data and high-quality oxygen signals, free of baseline CVD	3714; 3698	11.7 median; 11.4 median	home-based PSG	4	2	2	moderate	Methodologically solid, but the analytic subset, overlap with prior SHHS publications, and dependence on alternate model structures warrant moderate caution.
40056262	Xu_2025_SleepBreath	primary_single_study_cell	prospective cohort subgroup analysis	OSA-ACS RCIR subgroup	China	ODI; nadir SpO2	MACCE	acute coronary syndrome patients with dual remnant-cholesterol and low-grade-inflammation risk		2.9 median	sleep study in hospitalized ACS cohort	2	2	0	moderate	Modern subgroup analysis with relevant clinical outcome, but post hoc RCIR subgrouping and ACS-specific selection limit direct OSA prognostic generalizability.
40818776	Peker_2025_RICCADSA_Abstract	specialized_sensitivity_abstract_only	secondary analysis of observational cohort	RICCADSA observational CAD + OSA cohort	Sweden	HB	MACCE	adults with moderate-to-severe OSA and coronary artery disease	368	4.7 median	sleep study in coronary artery disease cohort	1	0	1	moderate	Clinically important coronary-disease OSA cohort with a positive HB-MACCE signal, but abstract-only extraction and secondary-prevention framing limit direct comparability to the core prognostic pool.
35304425	Xu_2023_Thorax	primary_single_study_cell	prospective sleep clinic cohort	Hong Kong sleep clinic cohort	China	T90	MACE	adults referred for polysomnography in a Hong Kong sleep clinic	1860	8.3 median	in-laboratory polysomnography linked with territory-wide administrative outcomes	1	1	0	moderate	Large modern sleep-clinic cohort with hard cardiovascular outcomes and AHI-aware modeling, but single-center clinic sampling and spline-only effect presentation limit direct comparability.
33394326	Labarca_2021_SantOSA	primary_single_study_cell	prospective cohort	SantOSA OSA-diabetes cohort	Chile	T90	CVD mortality	adults referred for sleep study with moderate-to-severe OSA and diabetes-comorbidity framing	1447	5 mean	diagnostic sleep-study referral cohort	1	1	0	moderate	Clinically relevant prospective cohort with an adjusted T90 cardiovascular-mortality signal, but diabetes-enriched phenotype framing and limited reporting detail keep overall certainty moderate.
40132385	Wang_2025_SleepMed	sensitivity_overlap_prone_shhs	prospective cohort secondary analysis	SHHS OSA without baseline AF cohort	USA	HB; SBII	incident atrial fibrillation	SHHS participants with OSA and no baseline atrial fibrillation	1660	5.3 mean	home polysomnography in the Sleep Heart Health Study	1	0	1	moderate	Useful incident-AF analysis in a large SHHS-derived OSA cohort, but overlap-prone cohort reuse and OR-based modeling reduce comparability to the primary pooled architecture.
41733912	Bailly_2026_JAMANetworkOpen	specialized_sensitivity_perioperative	multicenter clinic-based cohort	French major noncardiothoracic surgery cohort	France	SASHB	30-day postoperative cardiovascular events	adults with OSA undergoing major noncardiothoracic surgery	2286	0.08	preoperative diagnostic sleep study linked to administrative surgical outcomes	1	0	1	moderate	Large perioperative translational cohort with relevant hard outcomes, but surgical timing and postoperative-composite framing limit general chronic-OSA prognostic transportability.
27464791	Xie_2016_JAHA	specialized_sensitivity_postmi	prospective cohort	recent myocardial infarction cohort	USA	nadir SpO2; T90	MACE	adults with recent myocardial infarction undergoing full-night polysomnography after the index event	98	4 total	full-night polysomnography after recent myocardial infarction	2	0	2	high	Small specialized post-MI cohort with landmarked outcome modeling and limited event support; strong signal for nadir oxygen saturation is clinically interesting but highly context-dependent.
20339144	Redline_2010_AJRCCM	primary_single_study_cell	prospective community cohort	SHHS male community model	USA	T90	incident ischemic stroke	community-dwelling men in the Sleep Heart Health Study	2462	8.7 median	unattended home polysomnography	1	1	0	moderate	Important community-based stroke analysis with longitudinal follow-up, but older modeling conventions, sex-restricted inference, and wide confidence intervals warrant moderate caution.
37656346	HenriquezBeltran_2024_SleepBreath	primary_single_study_cell	prospective dual-cohort secondary analysis	SHHS community cohort; SantOSA clinical cohort	USA; Chile	T90	all-cause mortality	community SHHS adults and clinical SantOSA adults with complete baseline and follow-up data	4323; 1345	11.7 median; 5.0 median	unattended home polysomnography; diagnostic sleep-study referral cohort	2	2	0	moderate	Dual-cohort T90 mortality paper with adjusted models in both a community SHHS cohort and a clinical SantOSA cohort, but single-publication dual-cohort structure and mixed population framing limit direct comparability.
